stop_id,nearest_node_id
STATION_M140,3391132734
32,3391132734
32-01,3391132734
32-02,32124407
32-03,32124407
32-04,29793978
32-06,1574810835
32-07,1574810835
STATION_M142,32124410
31,32124410
31-01,32124410
31-02,208765229
31-03,29239090
31-04,1315075432
14-05,208756285
61825,208756336
50111,124062159
52365,124062159
52368,26233234
52369,26233234
52384,3431833846
52397,3431833804
52398,3431833804
52399,3431833804
52409,208687501
52412,29793978
52430,31776716
52433,3391132734
52434,29795323
52438,208765391
52439,208765391
52442,29793292
52443,29793292
52444,29793292
52451,32124407
52458,31776141
52459,31776141
52474,208756317
52498,26235237
52499,26235237
52516,208765229
52517,208765229
52527,2889868395
52529,29796364
52530,29794278
52534,29239090
52540,1315075432
52587,29796362
52588,29796362
52608,26235235
52625,29796361
52626,29794281
52627,29794282
52666,32125170
52669,208756285
52670,1245728019
52679,29796355
52697,209353772
52732,427615136
53918,208687491
54001,29795322
59314,208687501
60713,1768772432
60745,32125080
61049,1315075432
61042,1315075432
61108,1315075432
